student_id,attendance_pct,study_hours_per_day,assignment_score_pct,internal_marks_pct,previous_gpa,previous_backlogs,sleep_hours,class_participation_pct,risk_level
S0373,65.0,1.4,70.9,65.2,9.38,3,5.8,84.6,High
S0374,62.3,7.4,89.4,44.1,4.77,2,6.1,89.0,High
S0375,53.7,2.9,42.1,56.1,8.65,0,8.1,36.9,Medium
S0376,53.1,5.1,49.6,68.9,6.45,3,8.5,23.4,High
S0377,96.5,4.0,86.5,59.8,8.07,0,5.9,52.4,Low
S0378,69.1,3.5,90.1,84.4,7.33,0,7.1,88.5,Low
S0379,66.1,4.5,99.7,50.4,5.93,2,5.8,43.1,High
S0380,85.1,1.9,91.7,93.2,5.24,1,4.7,76.0,Medium
S0381,75.4,7.9,92.8,82.1,5.14,1,7.8,20.6,Low
S0382,96.5,6.6,55.4,93.1,5.07,0,5.3,48.4,Low
S0383,87.9,6.1,61.1,85.3,8.01,2,6.4,69.2,Low
S0384,71.4,4.0,52.4,43.5,6.43,0,6.7,30.4,High
S0385,65.7,1.6,74.4,66.6,5.69,0,5.3,91.7,Medium
S0386,99.3,7.4,96.0,45.2,8.31,2,4.9,32.5,Low
S0387,84.5,3.1,57.4,84.1,8.28,1,6.1,92.8,Low
S0388,97.3,0.9,71.2,70.0,7.47,2,8.8,37.3,Medium
S0389,51.5,3.1,54.3,50.8,9.64,0,7.3,99.5,Medium
S0390,91.8,6.5,46.0,90.8,6.62,2,6.2,68.4,Low
S0391,80.0,5.2,47.7,41.9,9.1,3,4.7,26.7,High
S0392,51.7,6.1,38.8,68.8,4.91,1,7.2,25.2,High
S0393,77.4,6.5,96.7,78.3,8.57,1,4.9,26.0,Low
S0394,82.7,2.1,61.2,38.5,9.94,2,6.9,67.2,Medium
S0395,45.7,7.4,89.2,70.9,9.16,2,7.9,84.8,Low
S0396,70.0,3.8,79.3,84.0,7.69,0,6.4,52.2,Low
S0397,90.4,5.3,47.5,39.1,7.95,2,5.8,55.6,Medium
S0398,61.2,0.5,46.4,65.7,6.44,0,4.7,67.1,High
S0399,70.2,8.0,87.8,50.5,8.24,2,4.6,62.6,Medium
S0400,69.3,2.6,52.2,74.8,8.74,3,6.4,75.0,Medium
S0401,61.6,1.0,94.4,42.1,9.99,2,8.5,57.7,Medium
S0402,95.5,3.9,44.1,91.2,7.21,3,5.6,77.1,Medium
S0403,88.0,1.5,79.1,88.7,4.84,1,7.1,99.8,Medium
S0404,51.1,1.6,87.9,46.2,7.78,3,7.6,48.0,High
S0405,99.8,5.2,50.3,54.4,5.15,3,4.8,21.0,High
S0406,93.4,3.4,53.0,70.3,5.85,3,5.2,30.1,High
S0407,60.6,7.4,97.7,78.1,6.31,2,6.0,64.3,Low
S0408,91.0,2.9,52.2,61.6,8.52,2,7.5,47.5,Medium
S0409,50.9,5.9,62.9,44.4,5.51,2,6.5,95.2,High
S0410,100.0,4.0,63.1,41.2,5.41,3,7.8,70.2,High
S0411,81.6,5.4,51.4,95.0,4.75,3,8.4,61.6,Medium
S0412,80.8,5.0,85.4,62.3,9.3,1,7.9,83.8,Low
S0413,50.0,4.0,85.2,87.4,8.31,0,9.0,40.7,Low
S0414,94.3,7.6,59.6,63.9,4.72,0,7.9,85.6,Low
S0415,46.6,3.1,89.3,90.3,4.66,0,8.3,20.2,Medium
S0416,58.2,1.8,48.8,40.3,7.57,0,8.2,69.6,High
S0417,52.9,5.6,35.3,41.8,6.05,0,7.8,94.8,Medium
S0418,87.7,6.8,72.1,90.8,7.78,0,8.1,83.0,Low
S0419,55.9,0.8,99.6,91.8,6.89,3,8.7,88.3,Medium
S0420,95.1,3.9,37.5,53.9,9.58,0,6.6,51.8,Low
S0421,81.1,7.2,48.5,56.3,6.08,2,7.4,85.9,Medium
S0422,47.0,6.1,68.7,62.1,8.24,1,6.8,64.1,Medium
S0423,45.3,7.9,87.6,60.0,4.8,0,8.3,69.5,Medium
S0424,47.8,4.5,40.8,46.4,9.76,2,6.4,24.7,High
S0425,78.3,5.4,60.7,88.9,9.89,3,8.2,36.1,Low
S0426,89.1,2.8,83.6,50.2,8.56,3,8.1,64.1,Medium
S0427,58.1,7.6,59.2,77.3,7.06,3,8.8,24.7,Medium
S0428,91.7,3.2,47.3,39.0,5.71,2,5.6,79.3,High
S0429,48.1,6.0,47.7,37.3,8.97,2,7.7,87.2,High
S0430,89.1,3.5,61.7,74.2,8.55,0,7.9,93.6,Low
S0431,96.0,4.7,66.2,55.3,5.72,3,8.7,28.1,High
S0432,87.5,5.9,91.0,74.3,6.98,2,8.6,95.2,Low
S0433,83.4,4.3,76.7,40.6,7.05,1,7.1,25.4,Medium
S0434,91.1,7.3,79.9,92.0,9.05,1,7.1,57.9,Low
S0435,47.2,3.6,98.9,79.9,8.26,2,5.3,87.2,Medium
S0436,56.1,5.4,61.8,87.6,8.04,0,8.9,25.6,Low
S0437,51.9,3.1,61.2,43.2,8.07,3,5.6,21.5,High
S0438,72.7,3.6,95.0,54.2,5.99,1,7.8,22.0,Medium
S0439,86.0,3.8,51.0,57.1,6.54,0,8.1,60.9,Medium
S0440,79.7,1.4,82.4,67.2,4.75,1,6.5,84.9,Medium
S0441,91.8,1.2,84.0,52.8,8.83,3,5.5,30.2,High
S0442,53.5,5.5,41.4,38.6,6.88,1,5.4,30.0,High
S0443,85.4,5.4,65.4,57.1,6.91,2,8.4,65.5,Medium
S0444,55.6,5.5,48.0,50.3,5.85,3,6.8,38.7,High
S0445,59.9,0.6,47.0,58.2,5.65,0,4.9,78.4,High
S0446,84.0,2.9,65.1,46.8,7.73,3,7.7,96.0,High
S0447,98.9,2.0,53.8,50.7,5.78,1,5.6,81.3,High
S0448,78.6,6.3,86.7,72.6,4.85,2,8.4,90.2,Medium
S0449,48.0,7.0,94.0,58.3,8.72,0,5.9,61.6,Low
S0450,78.9,2.4,87.2,55.7,6.57,0,5.4,86.6,Medium
S0451,47.3,5.5,52.3,67.0,6.59,3,4.9,34.6,High
S0452,93.6,1.5,52.8,81.3,6.87,3,6.8,25.5,High
S0453,84.0,2.6,51.6,57.7,8.98,3,6.5,72.5,High
S0454,54.5,1.5,43.8,70.3,6.26,2,7.9,24.2,High
S0455,50.0,2.6,96.3,93.0,8.67,1,6.6,91.4,Low
S0456,55.1,5.6,61.1,66.3,9.67,0,6.0,75.3,Low
S0457,98.9,7.3,49.6,89.6,8.13,1,5.7,96.2,Low
S0458,70.2,2.0,90.0,82.6,6.87,2,5.8,45.1,Medium
S0459,88.1,4.6,60.9,38.5,8.61,1,8.7,58.9,Medium
S0460,80.0,5.8,37.3,60.7,7.02,1,5.2,79.3,Medium
S0461,76.5,7.6,45.5,76.9,6.78,0,8.9,39.4,Low
S0462,53.0,5.1,76.6,94.2,7.39,1,6.0,63.3,Low
S0463,97.0,2.4,85.9,62.5,6.25,0,4.9,72.8,Low
S0464,61.6,5.2,48.7,40.6,5.07,0,5.6,98.3,High
S0465,76.8,2.9,94.6,68.7,6.78,0,4.8,79.6,Low
S0466,83.5,7.8,90.3,42.6,5.18,2,8.1,29.5,Medium
S0467,80.7,3.5,90.1,80.1,6.76,1,6.8,58.0,Low
S0468,96.7,5.6,49.8,65.5,7.56,0,6.0,67.1,Low
S0469,53.2,0.7,38.3,78.4,9.62,2,7.5,31.7,High
S0470,73.0,3.5,91.4,87.2,4.7,0,7.3,54.6,Low
S0471,67.2,7.1,54.9,72.7,7.92,0,8.7,42.7,Low
S0472,71.1,5.1,75.2,71.7,7.02,0,8.8,29.5,Low
S0473,51.6,3.8,84.4,80.3,4.61,1,7.6,61.0,Medium
S0474,52.4,7.5,43.3,85.5,5.87,3,8.2,33.3,High
S0475,60.3,6.9,85.8,87.1,5.15,0,8.1,67.2,Low
S0476,61.8,2.9,96.0,37.2,5.69,1,6.7,33.6,High
S0477,68.5,4.6,82.3,68.4,6.01,0,7.7,77.9,Low
S0478,78.6,4.2,63.7,48.0,6.71,1,4.9,35.6,High
S0479,79.9,5.2,92.0,86.6,7.41,2,7.9,91.7,Low
S0480,67.6,3.0,69.3,73.9,4.51,1,8.8,22.1,High
S0481,67.5,2.3,83.4,60.2,5.39,2,4.9,61.8,High
S0482,57.0,7.3,88.3,46.3,5.01,3,8.3,45.6,High
S0483,77.4,7.4,83.7,55.3,7.52,3,8.7,38.0,Medium
S0484,62.4,6.8,53.7,77.2,6.31,2,5.5,57.7,Medium
S0485,47.0,7.8,42.7,47.3,7.52,2,6.9,87.4,Medium
S0486,68.0,6.1,50.5,40.6,5.72,3,8.7,93.2,High
S0487,71.1,6.2,67.7,88.3,4.63,3,8.8,44.3,Medium
S0488,57.4,6.2,67.8,80.9,9.68,1,5.1,32.3,Low
S0489,76.5,4.1,72.9,47.0,5.1,0,6.1,77.6,Medium
S0490,76.1,3.9,60.7,52.5,5.2,0,7.6,66.6,Medium
S0491,83.6,2.3,86.1,93.3,5.31,3,5.5,36.1,High
S0492,80.6,5.3,94.4,77.5,9.9,2,6.0,80.8,Low
S0493,80.9,2.7,51.0,71.6,7.9,1,4.6,61.5,Medium
S0494,62.4,2.4,82.9,53.5,7.86,1,5.2,72.3,Medium
S0495,88.3,4.9,79.1,52.9,9.93,1,7.0,48.7,Low
S0496,75.2,3.6,69.0,37.4,4.99,3,7.4,55.1,High
S0497,68.7,2.1,47.3,78.7,9.86,2,7.4,34.4,Medium
S0498,79.4,6.6,86.7,37.6,5.62,3,8.0,80.5,High
S0499,64.8,7.0,97.4,35.3,7.93,1,6.4,32.6,Medium
S0500,73.2,1.8,81.9,78.8,6.81,1,5.7,82.3,Medium
S0501,85.5,0.6,94.7,91.9,6.61,0,4.6,83.8,Low
S0502,93.8,3.0,99.0,80.4,9.62,3,5.4,79.7,Low
S0503,95.7,6.5,57.9,63.3,5.32,2,5.9,21.6,Medium
S0504,72.7,6.8,76.5,64.2,9.98,2,5.3,41.9,Low
S0505,73.6,1.5,65.8,61.2,6.59,1,4.6,57.5,High
S0506,89.0,6.3,99.1,54.5,8.07,1,5.2,67.6,Low
S0507,62.3,1.4,41.1,66.3,9.82,3,7.5,93.5,High
S0508,91.1,3.4,61.8,60.9,4.82,1,7.3,50.0,Medium
S0509,72.2,8.0,91.9,70.9,9.58,2,8.7,90.0,Low
S0510,51.4,1.9,53.5,88.9,7.62,0,8.1,33.1,Medium
S0511,49.0,1.7,86.2,94.7,8.37,1,7.1,49.7,Medium
S0512,91.3,3.7,59.9,39.7,5.32,3,5.1,24.2,High
S0513,48.1,5.1,98.7,58.1,7.43,0,7.0,79.4,Low
S0514,60.4,7.5,92.4,45.8,8.2,0,4.8,32.1,Low
S0515,63.4,7.9,54.6,56.1,7.01,3,6.4,40.6,High
S0516,54.5,1.0,85.1,52.2,5.35,1,6.3,82.0,High
S0517,62.3,1.5,56.9,45.5,5.84,1,6.4,62.8,High
S0518,85.8,6.4,74.4,80.8,9.2,2,5.8,21.1,Low
S0519,45.8,2.5,77.8,64.8,4.69,0,7.6,20.2,High
S0520,90.5,7.1,88.9,90.2,8.4,0,8.3,60.9,Low
S0521,92.1,5.5,36.6,37.0,10.0,0,8.0,44.4,Low
S0522,65.5,1.3,49.3,39.0,4.54,0,7.3,34.4,High
S0523,53.4,6.7,81.3,59.2,5.39,0,6.9,69.1,Medium
S0524,78.0,1.8,71.6,39.8,8.21,2,4.6,38.3,High
S0525,51.6,3.7,67.2,50.8,4.83,1,7.8,67.4,High
S0526,65.1,4.6,38.6,94.2,7.74,0,7.0,50.3,Low
S0527,97.7,4.3,57.6,47.5,8.26,0,5.7,34.9,Low
S0528,99.8,5.6,91.2,46.9,7.73,1,6.0,31.0,Low
S0529,87.5,5.4,37.0,69.4,6.51,3,8.7,38.9,High
S0530,62.1,7.9,60.8,64.9,8.34,1,7.3,22.4,Low
S0531,82.8,8.0,96.4,69.8,7.77,0,6.6,44.7,Low
S0532,83.8,4.4,38.3,57.6,5.64,0,7.3,92.2,Medium
S0533,66.3,1.2,83.7,84.6,7.6,1,6.4,86.5,Medium
S0534,80.2,6.0,51.7,43.3,9.35,0,6.6,49.8,Low
S0535,45.6,7.8,91.3,60.7,8.17,3,5.8,66.1,Medium
S0536,56.5,2.9,83.5,76.4,7.09,3,6.5,65.4,High
S0537,73.9,4.0,92.6,87.1,6.27,1,7.6,86.3,Low
S0538,54.0,3.7,49.0,57.2,4.97,3,4.7,38.9,High
S0539,54.1,0.9,69.5,69.1,5.85,1,8.1,43.7,High
S0540,91.0,5.5,85.7,39.1,4.56,0,5.8,44.1,Medium
S0541,99.4,3.2,51.0,45.2,9.93,3,7.6,23.3,Medium
S0542,75.6,6.4,50.0,39.1,5.72,3,7.4,45.2,High
S0543,91.1,6.7,36.8,78.7,8.98,1,7.4,90.2,Low
S0544,99.5,6.7,97.3,52.3,5.43,2,7.2,93.0,Low
S0545,52.8,3.6,81.2,78.4,6.06,0,8.8,28.8,Medium
S0546,69.7,2.9,76.3,39.0,6.8,2,6.8,56.6,High
S0547,66.6,6.1,83.4,86.8,6.28,2,7.8,50.5,Medium
S0548,49.4,6.5,69.6,85.1,8.89,2,7.7,59.1,Low
S0549,86.5,4.2,65.9,40.3,9.77,2,5.6,64.4,Medium
S0550,68.9,7.2,64.2,36.4,9.31,2,5.8,21.6,Medium
S0551,70.8,1.6,76.6,38.4,5.34,2,6.4,87.4,High
S0552,53.3,7.1,48.1,86.2,8.77,3,5.7,97.9,Medium
S0553,55.0,1.2,92.7,49.1,5.31,0,6.2,72.3,High
S0554,94.9,1.7,87.8,67.9,9.52,1,6.3,72.8,Low
S0555,47.5,4.5,57.7,60.6,7.35,1,7.2,62.2,Medium
S0556,57.8,1.0,72.6,82.7,6.35,2,5.5,46.7,High
S0557,61.1,0.9,44.2,64.3,5.36,0,8.1,31.9,High
S0558,72.0,0.5,98.2,65.0,4.56,1,6.5,66.7,High
S0559,77.3,3.8,93.7,94.3,5.86,3,7.7,23.6,Medium
S0560,72.1,6.3,94.9,44.0,9.53,0,4.9,86.0,Low
S0561,49.6,0.8,56.6,84.8,8.88,2,6.6,53.7,High
S0562,58.4,5.4,46.0,38.1,9.83,2,4.6,53.2,High
S0563,91.4,6.7,48.8,63.7,5.05,1,7.5,46.2,Medium
S0564,80.1,1.8,40.9,88.2,7.76,0,6.0,97.5,Low
S0565,80.7,1.6,42.8,74.9,5.91,0,8.8,34.0,Medium
S0566,81.9,7.0,39.6,76.1,7.49,1,6.0,32.1,Low
S0567,87.0,6.7,99.3,50.8,6.26,0,7.0,33.2,Low
S0568,48.2,4.5,39.8,60.1,6.06,0,5.7,72.7,High
S0569,65.2,6.6,43.6,57.0,7.66,0,7.3,99.4,Low
S0570,74.7,1.2,88.8,66.3,5.51,0,6.6,38.8,Medium
S0571,63.6,3.5,72.7,62.7,7.08,3,6.2,92.4,High
S0572,91.4,6.0,85.3,54.6,8.08,2,5.4,42.3,Medium
S0573,71.5,2.4,76.0,53.3,5.21,0,5.0,71.8,Medium
S0574,87.3,6.1,92.3,50.1,9.62,2,5.0,23.2,Low
S0575,91.9,4.3,76.5,56.9,7.28,0,9.0,59.7,Low
S0576,72.8,6.1,68.9,44.0,9.01,1,6.4,72.4,Low
S0577,95.0,4.0,81.3,87.3,8.1,0,4.5,62.9,Low
S0578,77.3,3.3,64.1,71.1,8.41,0,8.8,39.0,Low
S0579,91.8,2.1,57.5,43.0,8.44,0,4.6,86.3,Medium
S0580,63.7,2.1,65.4,76.6,9.31,1,6.4,97.6,Low
S0581,72.4,6.1,46.0,85.9,7.87,1,7.7,56.7,Low
S0582,74.2,1.4,86.8,49.3,6.03,1,8.6,70.9,Medium
S0583,50.8,1.1,51.9,44.0,5.05,2,7.7,83.2,High
S0584,66.9,1.8,45.0,35.5,7.83,2,6.6,39.3,High
S0585,95.5,1.8,51.0,37.8,4.86,2,8.9,89.2,High
S0586,79.7,6.7,89.7,80.7,5.83,2,4.7,42.4,Medium
S0587,54.8,3.5,56.5,94.2,4.83,2,8.9,82.1,Medium
S0588,63.6,7.9,79.6,37.7,7.52,1,8.3,29.0,Medium
S0589,55.5,1.5,90.7,79.9,5.38,0,8.7,43.1,Medium
S0590,46.4,5.4,40.1,39.3,7.86,1,5.6,62.7,High
S0591,96.0,3.9,84.7,70.5,8.85,0,5.1,62.0,Low
S0592,69.7,3.4,55.0,80.4,9.02,3,7.5,88.0,Medium
S0593,61.9,7.1,49.1,56.6,6.2,1,6.8,99.7,Medium
S0594,77.9,7.8,79.8,35.7,7.52,3,6.9,28.6,Medium
S0595,45.4,7.0,94.1,70.7,7.6,3,8.7,41.7,Medium
S0596,60.3,1.9,54.2,94.5,7.1,1,7.3,48.6,Medium
S0597,83.7,2.2,72.0,50.5,8.1,3,5.9,58.3,High
S0598,79.9,5.4,53.8,46.4,5.66,1,6.3,59.5,Medium
S0599,99.0,2.7,71.0,42.4,9.89,0,5.1,88.5,Low
S0600,79.1,6.0,75.4,68.3,5.04,0,5.4,81.6,Low
